dataset,method,seed,inertia,iterations,converged,runtime_seconds
synthetic,kmeans++,10027,2777.4921271778403,7,True,0.0022156999984872527
synthetic,kmeans++,10028,2777.2933533839923,9,True,0.002528999997593928
synthetic,kmeans++,10029,2777.317219545398,8,True,0.0038146000006236136
digits,random,10000,4570.583387098106,17,True,0.15038189999904716
digits,random,10001,4568.736403257841,13,True,0.11933329999737907
digits,random,10002,4711.288495134315,11,True,0.10716970000066794
digits,random,10003,4768.69645375743,18,True,0.15663510000013048
digits,random,10004,4748.106407932872,11,True,0.09996390000014799
digits,random,10005,4578.14952358416,16,True,0.14122879999922588
digits,random,10006,4553.276327455235,12,True,0.12253559999953723
digits,random,10007,4721.542937713092,13,True,0.12092960000154562
digits,random,10008,4612.329030405094,20,True,0.17885240000032354
digits,random,10009,4765.248989705309,11,True,0.10063169999921229
digits,random,10010,4568.662889435911,13,True,0.11963729999843054
digits,random,10011,4575.4566998932405,14,True,0.12631490000057966
digits,random,10012,4742.4414169889305,10,True,0.09796510000160197
digits,random,10013,4847.956964950297,11,True,0.10817319999841857
digits,random,10014,4551.84081188095,16,True,0.1422869999987597
digits,random,10015,4551.767770694431,16,True,0.15809610000360408
digits,random,10016,4551.866243454409,18,True,0.15809570000055828
digits,random,10017,4775.453656410769,13,True,0.11505919999763137
digits,random,10018,4575.4204955184,18,True,0.1580300999994506
digits,random,10019,4707.329093968943,15,True,0.1323523999999452
digits,random,10020,4731.654646077472,12,True,0.10854380000091624
digits,random,10021,4667.347460315508,23,True,0.20093690000067
digits,random,10022,4598.064765753294,18,True,0.1658041000009689
digits,random,10023,4668.908172218168,17,True,0.155930900000385
digits,random,10024,4742.3361211005795,24,True,0.21181910000086646
digits,random,10025,4590.220815084591,13,True,0.11935430000085034
digits,random,10026,4802.5436175467785,18,True,0.16123610000067856
digits,random,10027,4552.607528734249,14,True,0.12739930000316235
digits,random,10028,4551.706224893677,15,True,0.13788360000035027
digits,random,10029,4658.19111341879,13,True,0.11866720000034547
digits,kmeans++,10000,4552.236214372235,31,True,0.27773200000228826
digits,kmeans++,10001,4552.144297513063,22,True,0.19235780000235536
digits,kmeans++,10002,4597.827375277835,14,True,0.13732850000087637
digits,kmeans++,10003,4829.615398499192,17,True,0.15541029999803868
digits,kmeans++,10004,4570.417375916552,9,True,0.08595920000152546
digits,kmeans++,10005,4576.780462898109,11,True,0.10494040000048699
digits,kmeans++,10006,4570.6011674076835,16,True,0.14295950000087032
